Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Travis Kelce","Te","KC","1.4","111","No","No","Yes","5600","2025 Core","Active","2026-11-14"
"James Cook III","Rb","BUF","1.4","123","No","No","Yes","10080","2025 Core","Active","2026-11-14"
"Jaylen Warren","Rb","PIT","1.4","101","No","No","Yes","7560","2025 Core","Active","2026-11-14"
"Jaylen Warren","Rb","PIT","1.4","101","No","No","Yes","7560","2025 Core","Active","2026-11-14"
"Drake Maye","Qb","NE","1.3","110","No","No","Yes","7800","2025 Core","Active","2026-11-14"
"Trevor Lawrence","Qb","JAX","1.2","95","Yes","No","Yes","6960","2025 Core","Active","N/A"
"Garrett Wilson","Wr","NYJ","1.5","112","No","No","Yes","8700","2025 Core","Active","2026-11-14"
"Jaxson Dart","Qb","NYG","1.4","98","Yes","No","Yes","7840","2025 Core","Active","N/A"
"Brian Thomas Jr.","Wr","JAX","1.5","123","No","No","Yes","8250","2025 Core","Active","2026-11-14"
"Quentin Johnston","Wr","LAC","1.3","58","No","No","Yes","6110","2025 Core","Active","2026-11-14"
"Justin Jefferson","Wr","MIN","1","91","No","No","Yes","7300","2025 Core","Active","2026-11-14"
"CeeDee Lamb","Wr","DAL","1.1","99","No","No","Yes","8140","2025 Core","Active","2026-11-14"
"Jaxson Dart","Qb","NYG","1.2","84","No","No","No","6720","2025 Core QB","Active","2026-11-15"
"Terry McLaurin","Wr","WAS","1.3","101","No","No","Yes","7410","2025 Core","Active","2026-11-15"
"Travis Etienne Jr.","Rb","NO","1.1","77","No","No","Yes","6490","2025 Core","Active","2026-11-15"
"Sam LaPorta","Te","DET","1.3","105","No","No","Yes","5720","2025 Core","Active","2026-11-15"
"Justin Herbert","Qb","LAC","1.4","104","No","No","Yes","8540","2025 Core","Active","2026-11-15"
"Isaac TeSlaa","Wr","DET","1.5","56","No","No","Yes","5850","Primetime-All","Active","2026-12-02"
"Jake Ferguson","Te","DAL","1.3","84","No","No","Yes","5070","Primetime-TE","Active","2026-12-03"
"Puka Nacua","Wr","LAR","1.4","136","No","No","Yes","10780","2025 Core","Active","2026-12-05"
"C.J. Stroud","Qb","HOU","1.4","92","No","No","Yes","7280","2025 Core","Active","2026-12-05"
"Dallas Goedert","Te","PHI","1.4","84","No","No","Yes","5740","2025 Core","Active","2026-12-05"
"De'Von Achane","Rb","MIA","1.3","118","No","No","Yes","9100","Primetime-RB","Active","2026-12-09"
"Kyle Pitts Sr.","Te","ATL","1.4","98","No","No","Yes","6580","Primetime-TE","Active","2026-12-09"
"Cade Otton","Te","TB","1.5","82","No","No","Yes","5550","Primetime-TE","Active","2026-12-09"
"CeeDee Lamb","Wr","DAL","1.4","126","No","No","Yes","10360","Primetime-WR","Active","2026-12-09"
"Deebo Samuel Sr.","Wr","SF","1.1","61","No","No","Yes","5500","2025 Core","Active","2026-12-10"
"Brian Thomas Jr.","Wr","JAX","1.1","90","No","No","Yes","6050","2025 Core","Active","2026-12-10"
"Davante Adams","Wr","LAR","1.3","105","No","No","No","8060","2025 Core WR","Active","2026-12-10"
"Christian Watson","Wr","GB","1.1","63","No","No","No","6490","2025 Core WR","Active","2026-12-10"
"Kyle Monangai","Rb","CHI","1.4","74","No","No","No","7140","2025 Core RB","Active","2026-12-10"
"Chuba Hubbard","Rb","CAR","1.5","110","No","No","No","8250","2025 Core RB","Active","2026-12-10"
"Baker Mayfield","Qb","TB","1.3","108","No","No","No","7670","2025 Core","Active","2026-12-10"
"Chris Olave","Wr","NO","1.4","105","No","No","Yes","9380","2025 Core","Active","2026-12-10"
"Andrei Iosivas","Wr","CIN","1.1","36","Yes","No","Yes","3630","2025 Core","Active","N/A"
"Kirk Cousins","Qb","LV","1.1","41","No","No","Yes","5500","2025 Core","Active","2026-12-10"
"Blake Corum","Rb","LAR","1.4","50","No","No","Yes","7280","2025 Core","Active","2026-12-10"
"Evan Engram","Te","DEN","1.5","102","No","No","Yes","5100","2025 Core","Active","2026-12-10"
